hit_type,company_name,country,zip_code,city,federal_state,website,booth,profile_url,email,phone,category
Exhibitor,A.Optical components Ltd,Israel,5881622,Holon,,https://www.a-optical.com,Hall 3.0 - Stand 312,https://www.optatec-messe.de/en/Exhibitor-Index/73406-a-optical-components-ltd,ronit@a-optical.com,+972 544949730,A.Optical components Ltd
Exhibitor,"Accuray Photontech, Ltd.",China,350108,FUZHOU,,https://www.accuray-oe.com,Hall 3.0 - Stand 218,https://www.optatec-messe.de/en/Exhibitor-Index/98858-accuray-photontech--ltd,steve.huang@accuray-oe.com,+8659138267293,Optical components
Exhibitor,Advanced Microoptic Systems GmbH,Germany,66113,Saarbrücken,,https://www.amus.de,Hall 3.0 - Stand 613,https://www.optatec-messe.de/en/Exhibitor-Index/80836-advanced-microoptic-systems-gmbh,leleko@amus.de,+49 681 40000-30,Optical components
Exhibitor,AGC Plasma Technology Solutions,Belgium,1348,Louvain-la-Neuve,,https://www.agc-plasma.com,Hall 3.0 - Stand 118,https://www.optatec-messe.de/en/Exhibitor-Index/93872-agc-plasma-technology-solutions,jeroen.schotsaert@agc.com,+32 499 993 009,"Manufacturing systems, Optical components"
Exhibitor,American Photonics,USA,34243,Sarasota,,https://www.americanphotonics.com,Hall 3.0 - Stand 307-9,https://www.optatec-messe.de/en/Exhibitor-Index/99726-american-photonics,sales@americanphotonics.com,+1 941 752 5811,American Photonics
Exhibitor,AMETEK Germany GmbH,Deutschland,64331,Weiterstadt,,,Hall 3.0 - Stand 502,,,,
Exhibitor,AMETEK GmbH,Deutschland,64331,Weiterstadt,,,Hall 3.0 - Stand 502,,,,
Exhibitor,AMETEK GmbH,Deutschland,40670,Meerbusch,,,Hall 3.0 - Stand 502,,,,
Exhibitor,Argotech,Czech Republic,54101,Trutnov,,http://www.argotech.cz,Hall 3.0 - Stand 602,https://www.optatec-messe.de/en/Exhibitor-Index/56980-argotech,info@argotech.cz,+420 778 437 750,Argotech
Exhibitor,BAOTOU HAORUI RARE EARTHS CO LTD,China,014060,Baotou,,https://www.haoruixitu.com/,Hall 3.0 - Stand 203,https://www.optatec-messe.de/en/Exhibitor-Index/100318-baotou-haorui-rare-earths-co-ltd,xueqing.yang@haoruixitu.com,+86-0472-7902011,BAOTOU HAORUI RARE EARTHS CO LTD
Exhibitor,"Beijing Fly International Fairs Co.,Ltd.",China,100024,Beijing,,https://www.flyexpo.com.cn,Hall 3.0 - Stand 103,https://www.optatec-messe.de/en/Exhibitor-Index/89448-beijing-fly-international-fairs-co--ltd,lilychen@flyexpo.com.cn,+86 10 52591546,"Beijing Fly International Fairs Co.,Ltd."
Exhibitor,"Beijing Fly International Fairs Co.,Ltd.",China,100024,Beijing,,https://www.flyexpo.com.cn,Hall 3.0 - Stand 103,https://www.optatec-messe.de/en/Exhibitor-Index/89448-beijing-fly-international-fairs-co--ltd,lilychen@flyexpo.com.cn,+86 10 52591546,"Beijing Fly International Fairs Co.,Ltd."
Exhibitor,"Beijing Fly International Fairs Co.,Ltd.",China,100024,Beijing,,https://www.flyexpo.com.cn,Hall 3.0 - Stand 103,https://www.optatec-messe.de/en/Exhibitor-Index/89448-beijing-fly-international-fairs-co--ltd,lilychen@flyexpo.com.cn,+86 10 52591546,"Beijing Fly International Fairs Co.,Ltd."
Exhibitor,"Beijing Fly International Fairs Co.,Ltd.",China,100024,Beijing,,https://www.flyexpo.com.cn,Hall 3.0 - Stand 103,https://www.optatec-messe.de/en/Exhibitor-Index/89448-beijing-fly-international-fairs-co--ltd,lilychen@flyexpo.com.cn,+86 10 52591546,"Beijing Fly International Fairs Co.,Ltd."
Exhibitor,"Beijing Fly International Fairs Co.,Ltd.",China,100024,Beijing,,https://www.flyexpo.com.cn,Hall 3.0 - Stand 103,https://www.optatec-messe.de/en/Exhibitor-Index/89448-beijing-fly-international-fairs-co--ltd,lilychen@flyexpo.com.cn,+86 10 52591546,"Beijing Fly International Fairs Co.,Ltd."
Exhibitor,"Beijing Fly International Fairs Co.,Ltd.",China,100024,Beijing,,https://www.flyexpo.com.cn,Hall 3.0 - Stand 103,https://www.optatec-messe.de/en/Exhibitor-Index/89448-beijing-fly-international-fairs-co--ltd,lilychen@flyexpo.com.cn,+86 10 52591546,"Beijing Fly International Fairs Co.,Ltd."
Exhibitor,"Beijing Fly International Fairs Co.,Ltd.",China,100024,Beijing,,https://www.flyexpo.com.cn,Hall 3.0 - Stand 103,https://www.optatec-messe.de/en/Exhibitor-Index/89448-beijing-fly-international-fairs-co--ltd,lilychen@flyexpo.com.cn,+86 10 52591546,"Beijing Fly International Fairs Co.,Ltd."
Exhibitor,Bilz Vibration Technology AG,Germany,71229,Leonberg,,https://www.bilz.ag,Hall 3.0 - Stand 211,https://www.optatec-messe.de/en/Exhibitor-Index/96438-bilz-vibration-technology-ag,info@bilz.ag,+49 7152 3091-0,Bilz Vibration Technology AG
Exhibitor,BLF Optik Teknoloji San. A.S.,Turkiye,16285,Bursa,,https://www.blfoptik.com,Hall 3.0 - Stand 514,https://www.optatec-messe.de/en/Exhibitor-Index/98582-blf-optik-teknoloji-san--a-s,info@blfoptik.com,+902244428460,Optical components
Exhibitor,BlueLink Industrial Trading GmbH,Germany,52070,Aachen,,https://www.bluelink-tech.com,Hall 3.0 - Stand 111,https://www.optatec-messe.de/en/Exhibitor-Index/99916-bluelink-industrial-trading-gmbh,info@bluelink-tech.com,+49 152 04103652,BlueLink Industrial Trading GmbH
Exhibitor,BlueLink Industrial Trading GmbH,Germany,52070,Aachen,,https://www.bluelink-tech.com,Hall 3.0 - Stand 111,https://www.optatec-messe.de/en/Exhibitor-Index/99916-bluelink-industrial-trading-gmbh,info@bluelink-tech.com,+49 152 04103652,BlueLink Industrial Trading GmbH
Exhibitor,BlueTube Technology,Germany,37073,Göttingen,,https://www.bluetube-technology.com,Hall 3.0 - Stand 306-3,https://www.optatec-messe.de/en/Exhibitor-Index/99934-bluetube-technology,S.Lamrini@bluetube-technology.com,+49 1628480008,"Fibre optics / light guides, Manufacturing systems, Optical components"
Exhibitor,"Boxin Photoelectric Co., Ltd.",Canada,L4B3G2,Richmond Hill,,https://www.bxoptic.com,Hall 3.0 - Stand 310,https://www.optatec-messe.de/en/Exhibitor-Index/81920-boxin-photoelectric-co---ltd,cherry.lee@bxoptic.com,+1 905 604 2805/ 416 904 8699,Optical components
Exhibitor,Bühler Alzenau GmbH,Germany,63755,Alzenau,,https://www.buhlergroup.com/leyboldoptics,Hall 3.0 - Stand 508,https://www.optatec-messe.de/en/Exhibitor-Index/98022-buehler-alzenau-gmbh,leyboldoptics@buhlergroup.com,+4960235000,"Manufacturing systems, Optical components"
Exhibitor,CADFEM Germany GmbH,Germany,85567,Grafing b. München,,https://www.cadfem.de,Hall 3.0 - Stand 707,https://www.optatec-messe.de/en/Exhibitor-Index/84934-cadfem-germany-gmbh,info@cadfem.de,+49 8092 7005-0,CADFEM Germany GmbH
Exhibitor,Carl Zeiss Spectroscopy GmbH,Germany,07745,Jena,,https://www.zeiss.com/spectroscopy,Hall 3.0 - Stand 303,https://www.optatec-messe.de/en/Exhibitor-Index/81270-carl-zeiss-spectroscopy-gmbh,info.spectroscopy@zeiss.com,+49 3641 64 2838,Optical components
Exhibitor,"CASIX, Inc.",China,350014,Fujian,,https://www.casix.com,Hall 3.0 - Stand 404,https://www.optatec-messe.de/en/Exhibitor-Index/80848-casix--inc,sales@casix.com,+86 591 83610148,Optical components
Exhibitor,CASTECH Inc.,China,350003,Fuzhou Fujian,,,Hall 3.0 - Stand 108,,,,
Exhibitor,CC UPOB e.V.- Nanotechnologie,Deutschland,38116,Braunschweig,,,Hall 3.0 - Stand 503,,,,
Exhibitor,"Changchun Fenghua Technology Co., Ltd",China,130000,Changchun,,https://www.changchunfenghua.com,Hall 3.0 - Stand 708,https://www.optatec-messe.de/en/Exhibitor-Index/99216-changchun-fenghua-technology-co---ltd,13911528364@163.com,+86 13911528364,"Optical components, Optomechanics / optoelectronics"
Exhibitor,"Changchun Glitter Optics Co., ltd",China,130102,Jilin,,https://www.glitteroptic.com,Hall 3.0 - Stand 417,https://www.optatec-messe.de/en/Exhibitor-Index/97714-changchun-glitter-optics-co---ltd,13911528364@163.com,+13911528364,Optical components
Exhibitor,CHANGCHUN JIHENG OPTICS CO. LTD,China,130000,Changchun,,http://www.jhoptics.com/,Hall 3.0 - Stand 517-1,https://www.optatec-messe.de/en/Exhibitor-Index/99212-changchun-jiheng-optics-co--ltd,13911528364@163.com,+86 13911528364,Optical components
